141,157,2942,157,-1.577,0.618
142,158,3132,158,-1.587,1.44
143,159,2941,159,-1.577,-0.432
144,160,2889,160,-1.574,-1.137
145,161,2954,161,-1.577,0.055
146,162,2937,162,-1.576,-0.949
147,163,3031,30EpsAnd,-1.582,0.512
148,164,3083,164,-1.585,0.861
149,165,3092,31DelAnd,-1.585,0.539
150,166,3093,54Psc,-1.585,0.371
151,167,3138,55Psc,-1.588,0.374
152,168,3179,18AlpCas,-1.59,0.987
153,171,3137,171,-1.588,-0.782
154,172,3175,172,-1.59,-0.288
155,173,3185,173,-1.591,-0.415
156,174,3193,174,-1.591,-0.076
157,175,3231,32And,-1.593,0.689
158,176,3170,176,-1.59,-1.038
159,177,3299,177,-1.597,1.154
160,178,3269,178,-1.595,0.43
161,179,3300,19XiCas,-1.597,0.882
162,180,3245,MuPhe,-1.594,-0.804
163,181,3334,181,-1.599,1.025
164,183,3277,XiPhe,-1.596,-0.986
165,184,3414,20PiCas,-1.603,0.821
166,185,3356,Lam1Scl,-1.6,-0.671
167,186,3352,186,-1.6,-1.052
168,187,3330,RhoTuc,-1.599,-1.143
169,188,3419,16BetCet,-1.604,-0.314
170,189,3478,189,-1.608,0.835
171,190,3436,190,-1.605,-0.21
172,191,3405,EtaPhe,-1.603,-1.003
173,192,3572,21Cas,-1.613,1.309
174,193,3504,22OmiCas,-1.609,0.843
175,194,3455,17Phi1Cet,-1.607,-0.185
176,195,3456,Lam2Scl,-1.607,-0.671
177,196,3544,196,-1.611,0.964
178,197,3505,197,-1.609,-0.384
179,198,3521,198,-1.61,-0.745
180,199,3489,199,-1.608,-1.091
181,200,3641,200,-1.617,1.21
182,201,3552,201,-1.612,-0.081
183,202,3527,202,-1.61,-0.938
184,203,3559,18Cet,-1.612,-0.225
185,205,3604,205,-1.615,0.783
186,206,3576,206,-1.613,-0.287
187,207,3649,207,-1.618,1.04
188,208,3721,23Cas,-1.622,1.306
189,209,3583,209,-1.613,-0.83
190,210,3607,210,-1.615,-0.393
191,211,3632,57Psc,-1.617,0.27
192,212,3750,212,-1.624,1.268
193,213,3675,58Psc,-1.619,0.209
194,214,3685,59Psc,-1.62,0.342
195,215,3693,34ZetAnd,-1.62,0.424
196,216,3697,60Psc,-1.621,0.118
197,218,3717,218,-1.622,-0.315
198,219,3821,24EtaCas,-1.628,1.009
199,220,3741,220,-1.623,-0.379
200,221,3760,62Psc,-1.624,0.127
201,222,3765,222,-1.625,0.092
202,223,3801,25NuCas,-1.627,0.89
203,224,3786,63DelPsc,-1.626,0.132
204,225,3810,64Psc,-1.627,0.296
205,226,3881,35NuAnd,-1.631,0.717
206,227,3849,227,-1.629,-0.237
207,228,3834,228,-1.629,-0.421
208,229,3807,229,-1.627,-0.815
209,232,3858,232,-1.63,-0.408
210,233,3951,233,-1.635,1.121
211,234,3919,234,-1.633,0.785
212,235,3909,19Phi2Cet,-1.632,-0.186
213,236,3781,LamHyi,-1.626,-1.308
214,237,3988,237,-1.637,1.079
215,238,3965,238,-1.636,0.899
216,239,3903,239,-1.632,-0.757
217,240,4283,240,-1.653,1.461
218,241,4023,241,-1.639,0.9
219,242,3949,RhoPhe,-1.635,-0.89
220,243,3992,243,-1.638,0.059
221,244,4151,244,-1.645,1.067
222,247,4104,247,-1.644,-0.419
223,248,4147,20Cet,-1.645,-0.02
224,249,4185,249,-1.647,0.653
225,250,4212,250,-1.648,0.92
226,251,4164,251,-1.646,-0.432
227,252,4084,Lam1Tuc,-1.642,-1.213
228,253,4292,26Ups1Cas,-1.654,1.029
229,254,4267,66Psc,-1.652,0.335
230,255,4257,21Cet,-1.651,-0.153
231,256,4298,256,-1.654,0.85
232,257,4200,257,-1.648,-1.097
233,258,4288,36And,-1.654,0.412
234,259,4317,259,-1.655,0.429
235,260,4383,260,-1.659,1.012
236,261,4446,261,-1.662,1.2
237,262,4366,67Psc,-1.658,0.475
238,263,4346,263,-1.657,-0.128
239,264,4427,27GamCas,-1.661,1.06
240,265,4422,28Ups2Cas,-1.661,1.033
241,266,4440,266,-1.661,1.054
242,267,4371,22Phi3Cet,-1.658,-0.197
243,268,4363,268,-1.658,-0.485
244,269,4436,37MuAnd,-1.661,0.672
245,270,4293,Lam2Tuc,-1.654,-1.213
246,271,4463,38EtaAnd,-1.663,0.409
247,272,4501,272,-1.665,0.8
248,273,4572,273,-1.669,1.158
249,274,4510,68Psc,-1.666,0.506
250,275,4552,275,-1.668,0.593
251,276,4520,276,-1.666,0.239
252,277,4558,277,-1.668,0.374
253,278,4709,278,-1.678,1.239
254,279,4587,23Phi4Cet,-1.67,-0.199
255,280,4577,AlpScl,-1.669,-0.512
256,281,4563,281,-1.668,-1.059
257,283,miss,XXX,-1.676,0.78
258,284,4655,284,-1.675,0.113
259,285,5372,285,-1.714,1.505
260,286,7283,286,-1.823,1.554
261,287,4844,287,-1.686,0.891
262,288,4770,XiScl,-1.681,-0.679
263,289,4911,289,-1.689,0.827
264,290,4903,39And,-1.688,0.722
265,291,4889,69SigPsc,-1.688,0.555
266,292,4962,292,-1.691,1.066
267,293,4852,SigScl,-1.686,-0.551
268,294,4906,71EpsPsc,-1.688,0.138
269,295,4829,OmePhe,-1.684,-0.995
270,296,4914,25Cet,-1.689,-0.084
271,297,5021,297,-1.694,1.075
272,298,4998,298,-1.693,0.916
273,299,4890,299,-1.688,-0.81
274,300,4932,300,-1.69,-0.515
275,301,4979,26Cet,-1.692,0.024
276,303,5034,303,-1.695,0.518
277,304,4879,304,-1.687,-1.142
278,306,5928,306,-1.746,1.521
279,307,5074,73Psc,-1.697,0.099
280,308,5081,72Psc,-1.698,0.261
281,310,5131,74Psi1Psc,-1.7,0.375
282,312,5412,312,-1.716,1.396
