440,566,DelPhe,ChiEri,1,0.021067999523041437
458,464,50UpsAnd,51And,2,0.018685639337732773
458,603,50UpsAnd,57Gam1And,1,0.01840721632003387
464,496,51And,PhiPer,2,0.018873433135151482
464,603,51And,57Gam1And,1,0.031272614517836195
472,566,AlpEri,ChiEri,1,0.025222974835227216
489,510,106NuPsc,110OmiPsc,3,0.012906812580479871
489,595,106NuPsc,113AlpPsc,4,0.012906812580479871
496,799,PhiPer,13ThePer,1,0.017952964939502856
509,539,52TauCet,55ZetCet,3,0.025991128778755333
509,585,52TauCet,59UpsCet,1,0.020445346037937656
510,595,110OmiPsc,113AlpPsc,1,0.015452260123909526
539,811,55ZetCet,89PiCet,1,0.015297742673217771
539,681,55ZetCet,68OmiCet,1,0.025476469946681013
542,1155,45EpsCas,1155,0,0.01215517832991494
542,834,45EpsCas,15EtaPer,1,0.025476469946681034
542,915,45EpsCas,23GamPer,1,0.03725384939621583
542,1035,45EpsCas,1035,1,0.01592285150451169
544,622,2AlpTri,4BetTri,4,0.036152831754046426
544,617,2AlpTri,13AlpAri,2,0.036152831754046426
546,649,5Gam2Ari,65Xi1Cet,0,0.013568559012200929
546,553,5Gam2Ari,6BetAri,8,0.019318572304114733
553,617,6BetAri,13AlpAri,9,0.07808166600115318
555,674,PsiPhe,PhiEri,0,0.013299883542443774
555,566,PsiPhe,ChiEri,0,0.013568559012200929
555,721,PsiPhe,KapEri,0,0.013568559012200929
555,794,PsiPhe,IotEri,0,0.013699330901720312
566,674,ChiEri,PhiEri,2,0.025222974835227216
580,1155,50Cas,1155,0,0.011619012711191899
580,8819,50Cas,33PiCep,0,0.01252535862107438
585,818,59UpsCet,1Tau1Eri,0,0.012525358621074392
591,806,AlpHyi,EpsHyi,0,0.01673923355858063
591,705,AlpHyi,DelHyi,1,0.017077388507484803
591,1208,AlpHyi,GamHyi,1,0.03975528463412809
591,1175,AlpHyi,BetRet,1,0.02160106845625761
595,649,113AlpPsc,65Xi1Cet,0,0.013568559012200929
595,779,113AlpPsc,82DelCet,1,0.018685639337732773
603,840,57Gam1And,16Per,1,0.016082878822588426
603,622,57Gam1And,4BetTri,2,0.05502322005640724
603,799,57Gam1And,13ThePer,1,0.01813339523680107
617,813,13AlpAri,87MuCet,0,0.015298507566725529
617,838,13AlpAri,41Ari,5,0.02901332708219707
622,840,4BetTri,16Per,0,0.01600246509858874
622,664,4BetTri,9GamTri,5,0.019841094744370298
649,718,65Xi1Cet,73Xi2Cet,3,0.013568559012200929
664,840,9GamTri,16Per,1,0.01592285150451169
674,721,PhiEri,KapEri,2,0.014552390548416132
681,811,68OmiCet,89PiCet,1,0.015146284873046985
681,779,68OmiCet,82DelCet,1,0.018685639337732773
705,806,DelHyi,EpsHyi,2,0.01624451444194987
718,804,73Xi2Cet,86GamCet,4,0.015146284873046988
718,813,73Xi2Cet,87MuCet,4,0.015146284873046988
721,794,KapEri,IotEri,1,0.015146284873046985
721,897,KapEri,The1Eri,1,0.014552390548416132
779,804,82DelCet,86GamCet,4,0.018685639337732773
794,841,IotEri,BetFor,0,0.012277339903068441
794,897,IotEri,The1Eri,1,0.017077388507484786
799,840,13ThePer,16Per,0,0.01592285150451169
799,854,13ThePer,18TauPer,1,0.01813339523680107
799,941,13ThePer,27KapPer,1,0.017952964939502856
804,911,86GamCet,92AlpCet,4,0.03404745473459935
806,1208,EpsHyi,GamHyi,1,0.01624451444194987
811,818,89PiCet,1Tau1Eri,1,0.01215517832991494
