15,21,21AlpAnd,11BetCas,0,9.929972098285327e-05
15,168,21AlpAnd,18AlpCas,0,0.00017002472640929115
15,8961,21AlpAnd,16LamAnd,0,0.0005753288436611713
15,8965,21AlpAnd,17IotAnd,0,0.000848281152033345
15,39,21AlpAnd,88GamPeg,10,0.003659368995925604
15,165,21AlpAnd,31DelAnd,3,0.015227850937741119
15,8905,21AlpAnd,68UpsPeg,1,0.0022502474580452956
15,8775,21AlpAnd,53BetPeg,7,0.004667216737281781
21,8650,11BetCas,44EtaPeg,0,3.341187744418349e-05
21,8238,11BetCas,8BetCep,0,0.0006068609370848916
21,168,11BetCas,18AlpCas,12,0.05332906153599199
21,130,11BetCas,15KapCas,4,0.01346111622263734
21,153,11BetCas,17ZetCas,1,0.01266640671789239
21,264,11BetCas,27GamCas,8,0.03373826238283972
21,8571,11BetCas,27DelCep,1,0.0023858882957533737
21,8694,11BetCas,32IotCep,1,0.004080762316289861
21,8961,11BetCas,16LamAnd,1,0.00193097012151377
25,8848,EpsPhe,GamTuc,0,0.0012477260598744032
25,191,EpsPhe,EtaPhe,0,0.001540237261147213
25,8747,EpsPhe,ZetGru,0,0.0017006574468119233
25,100,EpsPhe,KapPhe,2,0.021021785457585575
25,8937,EpsPhe,BetScl,1,0.002782867602163468
39,8709,88GamPeg,76DelAqr,0,9.199255276015498e-06
39,188,88GamPeg,16BetCet,0,2.4344127956322698e-05
39,402,88GamPeg,45TheCet,0,4.521056781343973e-05
39,334,88GamPeg,31EtaCet,0,5.567246040425346e-05
39,74,88GamPeg,8IotCet,0,0.0001692530839599542
39,8905,88GamPeg,68UpsPeg,0,0.0011263843308567268
39,8916,88GamPeg,10ThePsc,0,0.0011674936792385358
39,8969,88GamPeg,17IotPsc,1,0.0019469140603684196
39,215,88GamPeg,34ZetAnd,0,0.0023039222052539977
48,8937,7Cet,BetScl,0,0.00018986916345327637
48,8863,7Cet,GamScl,0,0.0003525915803048862
48,8988,7Cet,105Ome2Aqr,2,0.0038113263910575707
74,8698,8IotCet,73LamAqr,0,0.0002792054603548472
74,8852,8IotCet,6GamPsc,0,0.0004583089863450524
74,8988,8IotCet,105Ome2Aqr,0,0.002405972784302106
74,188,8IotCet,16BetCet,3,0.004560940700938722
74,334,8IotCet,31EtaCet,1,0.0032824320458352827
77,705,ZetTuc,DelHyi,0,0.0018720781063707277
77,98,ZetTuc,BetHyi,0,0.0018935864412458056
77,126,ZetTuc,Bet1Tuc,2,0.02361275795789675
77,9076,ZetTuc,EpsTuc,1,0.01962150156335029
98,4798,BetHyi,AlpMus,0,2.7535344688022316e-05
98,4037,BetHyi,OmeCar,0,3.23506085227854e-05
98,5671,BetHyi,GamTrA,0,4.0723653405558544e-05
98,6217,BetHyi,AlpTrA,0,9.69845592050193e-05
98,6102,BetHyi,GamAps,0,0.000327290868591076
98,8540,BetHyi,DelTuc,0,0.0007722806484618118
98,9076,BetHyi,EpsTuc,0,0.001773266177701765
98,705,BetHyi,DelHyi,1,0.0024081107047450464
98,1208,BetHyi,GamHyi,1,0.004029506418131947
98,8254,BetHyi,NuOct,1,0.006552899828641882
99,8892,AlpPhe,98Aqr,0,7.834513692790572e-05
99,188,AlpPhe,16BetCet,0,0.00035559614273744
99,8636,AlpPhe,BetGru,0,0.0014733704080043242
99,100,AlpPhe,KapPhe,2,0.03693884068061103
100,322,KapPhe,BetPhe,2,0.007698128556627714
126,8502,Bet1Tuc,AlpTuc,0,0.0011842174544315356
126,8848,Bet1Tuc,GamTuc,1,0.003917938749910312
130,8819,15KapCas,33PiCep,0,0.0010034518070116392
130,264,15KapCas,27GamCas,3,0.018102610590813716
153,269,17ZetCas,37MuAnd,0,0.0010664424223140374
153,168,17ZetCas,18AlpCas,1,0.032811020184045296
153,464,17ZetCas,51And,1,0.00424107190820984
153,8961,17ZetCas,16LamAnd,1,0.002812779147516412
154,8965,29PiAnd,17IotAnd,0,0.0009155126463611664
154,165,29PiAnd,31DelAnd,3,0.018384549477000103
154,269,29PiAnd,37MuAnd,3,0.00798787191952382
154,337,29PiAnd,43BetAnd,1,0.006581080237969202
163,271,30EpsAnd,38EtaAnd,0,0.005971981845195749
163,165,30EpsAnd,31DelAnd,1,0.025551918405514316
163,215,30EpsAnd,34ZetAnd,2,0.00975114536212547
165,168,31DelAnd,18AlpCas,0,0.00014028919015070073
165,437,31DelAnd,99EtaPsc,0,0.0004963862482723138
165,337,31DelAnd,43BetAnd,2,0.01183410046127042
168,337,18AlpCas,43BetAnd,0,0.0008710833725475307
168,603,18AlpCas,57Gam1And,0,0.0014388199011609788
168,219,18AlpCas,24EtaCas,4,0.049179518439090505
168,343,18AlpCas,33TheCas,2,0.012587551754865407
188,429,16BetCet,GamPhe,0,8.981712487267731e-05
188,8728,16BetCet,24AlpPsA,0,0.0002673288020850448
188,334,16BetCet,31EtaCet,2,0.0063635034555171695
188,509,16BetCet,52TauCet,1,0.0018819572566193621
191,338,EtaPhe,ZetPhe,1,0.01359191604988798
215,271,34ZetAnd,38EtaAnd,1,0.01988493605614708
219,603,24EtaCas,57Gam1And,0,0.0005852045920277816
219,264,24EtaCas,27GamCas,3,0.03526864020496296
224,334,63DelPsc,31EtaCet,0,0.0003584115028930634
224,9089,63DelPsc,30Psc,0,0.00040989645436599614
224,271,63DelPsc,38EtaAnd,0,0.0006664710523207662
224,294,63DelPsc,71EpsPsc,3,0.014862450243648212
224,9072,63DelPsc,28OmePsc,1,0.0016800516985040048
264,8974,27GamCas,35GamCep,0,0.0009894179736485691
