index,boorong,india,indomalay,marshall,pacariqtambo,anutan_stellarium,arabic_moon_stations_stellarium,belarusian_stellarium,chinese_stellarium,dakota_stellarium,egyptian_stellarium,inuit_stellarium,lokono_stellarium,macedonian_stellarium,maori_stellarium,mulapin_stellarium,navajo_stellarium,norse_stellarium,ojibwe_stellarium,romanian_stellarium,sami_stellarium,siberian_stellarium,tongan_stellarium,tukano_stellarium,tupi_stellarium,vanuatu_netwar_stellarium,western_stellarium,cluster
137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,"(4819, 4840)"
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,"(5017, 5084, 5158, 5252)"
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,"(550, 730, 763, 768, 839, 845, 858, 937, 1036, 1044, 1109, 1125, 1132)"
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"(2995, 3213, 3237, 3385, 3403, 3507, 3639, 3670, 3880, 3886, 3916, 4087, 4123, 4221, 4446, 4579, 4701)"
141,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,"(7616, 7718, 7753, 7789)"
142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,"(4109, 4247, 4373, 4451, 4470)"
143,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"(138, 149, 195, 244, 305)"
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.38461538461538464,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.4375,"(1428, 1436, 1449, 1462, 1580, 1642, 1644, 1699, 1724, 1730, 1738, 1780, 1829, 1880, 1937)"
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,"(594, 656, 712, 735, 744, 835)"
146,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,1.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"(5213, 5434, 5567, 5804, 7994)"
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,1.0,"(7379, 7450, 7665, 7877, 8137)"
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.038461538461538464,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"(13, 34, 149, 305, 550, 7953, 7958)"
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,"(2240, 2517, 2612, 2695)"
150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(7514, 7631)"
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"(268, 397, 443, 463, 544, 8024, 8084, 8133, 8146, 8223)"
152,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.35294117647058826,"(6180, 6273, 6385, 6451, 6517, 6548)"
153,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,"(4247, 4373, 4451, 4470, 4501)"
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,"(656, 735, 744, 835)"
